location,Basel
lat,47.75000
lon,7.50000
asl,363.653
variable,Wind Gust
unit,km/h
level,sfc
resolution,hourly
aggregation,None
timestamp,Basel Wind Gust
20220127T0400,11.159999
20220127T0500,11.879999
20220127T0600,12.599999
20220127T0700,12.599999
20220127T0800,12.24
20220127T0900,15.84
20220127T1000,13.679999
20220127T1100,15.84
20220127T1200,19.08
20220127T1300,22.319998
20220127T1400,23.4
20220127T1500,23.039999
20220127T1600,22.319998
20220127T1700,21.599998
20220127T1800,18.0
20220127T1900,17.64
20220127T2000,19.08
20220127T2100,20.16
20220127T2200,20.16
20220127T2300,19.8
20220128T0000,21.599998
20220128T0100,22.319998
20220128T0200,22.68
20220128T0300,21.599998
20220128T0400,19.8
20220128T0500,17.64
20220128T0600,16.199999
20220128T0700,14.4
20220128T0800,15.4800005
20220128T0900,15.4800005
20220128T1000,15.119999
20220128T1100,16.919998
20220128T1200,17.64
20220128T1300,18.72
20220128T1400,20.519999
20220128T1500,20.16
20220128T1600,19.8
20220128T1700,19.44
20220128T1800,13.32
20220128T1900,11.879999
20220128T2000,10.08
20220128T2100,6.12
20220128T2200,5.7599998
20220128T2300,7.2
20220129T0000,9.36
20220129T0100,10.799999
20220129T0200,11.159999
20220129T0300,11.5199995
20220129T0400,11.879999
20220129T0500,13.32
20220129T0600,14.759999
20220129T0700,15.119999
20220129T0800,16.199999
20220129T0900,19.44
20220129T1000,20.16
20220129T1100,21.96
20220129T1200,27.0
20220129T1300,30.599998
20220129T1400,31.319998
20220129T1500,32.399998
20220129T1600,33.12
20220129T1700,32.760002
20220129T1800,32.039997
20220129T1900,29.88
20220129T2000,32.399998
20220129T2100,32.039997
20220129T2200,32.039997
20220129T2300,31.68
20220130T0000,32.399998
20220130T0100,30.960001
20220130T0200,29.88
20220130T0300,28.44
20220130T0400,27.359999
20220130T0500,25.919998
20220130T0600,24.84
20220130T0700,24.119999
20220130T0800,23.039999
20220130T0900,19.08
20220130T1000,17.64
20220130T1100,16.199999
20220130T1200,17.64
20220130T1300,17.28
20220130T1400,16.919998
20220130T1500,18.0
20220130T1600,17.64
20220130T1700,15.4800005
20220130T1800,11.159999
20220130T1900,8.28
20220130T2000,7.5599995
20220130T2100,5.3999996
20220130T2200,7.92
20220130T2300,10.440001
20220131T0000,11.5199995
20220131T0100,13.32
20220131T0200,14.759999
20220131T0300,17.64
20220131T0400,18.0
20220131T0500,25.199999
20220131T0600,34.92
20220131T0700,39.96
20220131T0800,43.92
20220131T0900,49.32
20220131T1000,51.839996
20220131T1100,56.88
20220131T1200,52.56
20220131T1300,53.639996
20220131T1400,48.239998
20220131T1500,47.88
20220131T1600,49.68
20220131T1700,53.28
20220131T1800,50.039997
20220131T1900,38.519997
20220131T2000,36.0
20220131T2100,37.8
20220131T2200,36.0
20220131T2300,36.36
20220201T0000,35.64
20220201T0100,36.0
20220201T0200,36.0
20220201T0300,34.2
20220201T0400,31.319998
20220201T0500,30.960001
20220201T0600,29.88
20220201T0700,28.08
20220201T0800,26.28
20220201T0900,25.919998
20220201T1000,26.64
20220201T1100,29.16
20220201T1200,34.92
20220201T1300,36.0
20220201T1400,37.8
20220201T1500,42.839996
20220201T1600,42.839996
20220201T1700,41.760002
20220201T1800,44.28
20220201T1900,45.719997
20220201T2000,46.8
20220201T2100,45.36
20220201T2200,43.92
20220201T2300,41.039997
20220202T0000,39.96
20220202T0100,39.239998
20220202T0200,37.8
20220202T0300,36.719997
20220202T0400,37.079998
20220202T0500,36.36
20220202T0600,36.0
20220202T0700,37.44
20220202T0800,35.28
20220202T0900,31.319998
20220202T1000,30.599998
20220202T1100,31.319998
20220202T1200,33.48
20220202T1300,34.2
20220202T1400,33.48
20220202T1500,30.599998
20220202T1600,30.599998
20220202T1700,29.88
20220202T1800,29.88
20220202T1900,27.359999
20220202T2000,24.84
20220202T2100,21.96
20220202T2200,20.16
20220202T2300,18.72
20220203T0000,16.919998
20220203T0100,16.919998
20220203T0200,15.119999
20220203T0300,12.599999
20220203T0400,10.799999
20220203T0500,10.440001
20220203T0600,11.879999
20220203T0700,11.879999
20220203T0800,10.799999
20220203T0900,14.4
20220203T1000,17.28
20220203T1100,18.0
20220203T1200,19.08
20220203T1300,19.8
20220203T1400,20.16
20220203T1500,19.08
20220203T1600,17.64
20220203T1700,14.759999
20220203T1800,11.879999
20220203T1900,12.599999
20220203T2000,14.4
20220203T2100,15.84
20220203T2200,14.4
20220203T2300,15.84
20220204T0000,16.56
20220204T0100,17.28
20220204T0200,17.64
20220204T0300,19.44
20220204T0400,21.24
20220204T0500,21.96
20220204T0600,20.880001
20220204T0700,19.8
20220204T0800,20.16
20220204T0900,20.16
20220204T1000,20.519999
20220204T1100,21.24
20220204T1200,26.28
20220204T1300,27.0
20220204T1400,29.88
20220204T1500,32.399998
20220204T1600,33.48
20220204T1700,32.760002
20220204T1800,32.399998
20220204T1900,35.64
20220204T2000,37.079998
20220204T2100,37.8
20220204T2200,37.8
20220204T2300,38.16
20220205T0000,37.44
20220205T0100,34.92
20220205T0200,30.960001
20220205T0300,27.72
20220205T0400,20.519999
20220205T0500,16.919998
20220205T0600,14.04
20220205T0700,13.32
20220205T0800,12.959999
20220205T0900,13.32
20220205T1000,15.4800005
20220205T1100,16.56
20220205T1200,18.359999
20220205T1300,20.880001
20220205T1400,23.039999
20220205T1500,23.039999
20220205T1600,23.759998
20220205T1700,23.4
20220205T1800,19.8
20220205T1900,16.56
20220205T2000,17.64
20220205T2100,18.359999
20220205T2200,16.919998
20220205T2300,16.919998
20220206T0000,18.0
20220206T0100,19.44
20220206T0200,21.599998
20220206T0300,23.759998
20220206T0400,24.119999
20220206T0500,27.72
20220206T0600,32.399998
20220206T0700,34.92
20220206T0800,36.719997
20220206T0900,39.96
20220206T1000,42.839996
20220206T1100,46.079998
20220206T1200,47.88
20220206T1300,52.56
20220206T1400,63.72
20220206T1500,63.72
20220206T1600,65.88
20220206T1700,66.24
20220206T1800,65.88
20220206T1900,67.32
20220206T2000,70.2
20220206T2100,72.36
20220206T2200,73.079994
20220206T2300,74.88
20220207T0000,74.520004
20220207T0100,74.88
20220207T0200,78.479996
20220207T0300,88.56
20220207T0400,80.64
20220207T0500,65.520004
20220207T0600,47.519997
20220207T0700,42.12
20220207T0800,32.760002
20220207T0900,29.519999
20220207T1000,27.359999
20220207T1100,27.72
20220207T1200,34.56
20220207T1300,35.64
20220207T1400,35.28
20220207T1500,36.36
20220207T1600,34.56
20220207T1700,30.239998
20220207T1800,23.039999
20220207T1900,16.199999
20220207T2000,15.84
20220207T2100,16.919998
20220207T2200,14.4
20220207T2300,14.04
20220208T0000,14.04
20220208T0100,13.679999
20220208T0200,13.32
20220208T0300,13.679999
20220208T0400,14.04
20220208T0500,14.04
20220208T0600,13.679999
20220208T0700,13.679999
20220208T0800,14.4
20220208T0900,17.28
20220208T1000,18.0
20220208T1100,18.359999
20220208T1200,18.72
20220208T1300,20.880001
20220208T1400,20.519999
20220208T1500,19.8
20220208T1600,18.72
20220208T1700,15.4800005
20220208T1800,11.5199995
20220208T1900,8.28
20220208T2000,8.64
20220208T2100,12.599999
20220208T2200,12.24
20220208T2300,11.879999
20220209T0000,11.879999
20220209T0100,11.879999
20220209T0200,11.879999
20220209T0300,11.5199995
20220209T0400,11.879999
20220209T0500,11.879999
20220209T0600,11.5199995
20220209T0700,11.5199995
20220209T0800,11.5199995
20220209T0900,16.56
20220209T1000,16.56
20220209T1100,17.28
20220209T1200,16.919998
20220209T1300,16.56
20220209T1400,16.199999
20220209T1500,16.56
20220209T1600,16.919998
20220209T1700,15.84
20220209T1800,14.04
20220209T1900,15.119999
20220209T2000,14.759999
20220209T2100,16.56
20220209T2200,15.84
20220209T2300,16.56
20220210T0000,17.28
20220210T0100,18.0
20220210T0200,18.359999
20220210T0300,19.44
20220210T0400,19.8
20220210T0500,20.519999
20220210T0600,20.880001
20220210T0700,21.24
20220210T0800,21.599998
20220210T0900,23.039999
20220210T1000,24.84
20220210T1100,26.64
20220210T1200,28.08
20220210T1300,31.68
20220210T1400,32.399998
20220210T1500,31.68
20220210T1600,31.319998
20220210T1700,25.199999
20220210T1800,22.319998
20220210T1900,18.72
20220210T2000,17.28
20220210T2100,18.0
20220210T2200,16.56
20220210T2300,15.4800005
20220211T0000,14.759999
20220211T0100,14.4
20220211T0200,27.72
20220211T0300,25.199999
20220211T0400,22.68
20220211T0500,20.519999
20220211T0600,25.919998
20220211T0700,29.16
20220211T0800,28.8
20220211T0900,23.759998
20220211T1000,15.84
20220211T1100,14.759999
20220211T1200,16.56
20220211T1300,16.919998
20220211T1400,17.28
20220211T1500,20.16
20220211T1600,22.68
20220211T1700,22.68
20220211T1800,21.24
20220211T1900,14.04
20220211T2000,13.32
20220211T2100,15.119999
20220211T2200,14.04
20220211T2300,14.04
20220212T0000,12.959999
20220212T0100,14.04
20220212T0200,14.4
20220212T0300,14.4
20220212T0400,14.759999
20220212T0500,14.759999
20220212T0600,15.119999
20220212T0700,15.119999
20220212T0800,14.04
20220212T0900,14.759999
20220212T1000,12.599999
20220212T1100,13.32
20220212T1200,16.199999
20220212T1300,18.72
20220212T1400,19.08
20220212T1500,18.359999
20220212T1600,16.919998
20220212T1700,16.199999
20220212T1800,12.959999
20220212T1900,12.959999
20220212T2000,13.32
20220212T2100,16.919998
20220212T2200,17.28
20220212T2300,17.64
20220213T0000,18.0
20220213T0100,18.0
20220213T0200,18.359999
20220213T0300,18.72
20220213T0400,19.44
20220213T0500,19.8
20220213T0600,19.8
20220213T0700,19.44
20220213T0800,19.08
20220213T0900,21.96
20220213T1000,22.68
20220213T1100,23.039999
20220213T1200,21.96
20220213T1300,21.599998
20220213T1400,23.039999
20220213T1500,26.28
20220213T1600,26.64
20220213T1700,25.199999
20220213T1800,22.68
20220213T1900,21.96
20220213T2000,22.68
20220213T2100,23.759998
20220213T2200,23.039999
20220213T2300,23.4
20220214T0000,23.4
20220214T0100,23.039999
20220214T0200,21.96
20220214T0300,21.599998
20220214T0400,21.96
20220214T0500,22.319998
20220214T0600,22.68
20220214T0700,23.039999
20220214T0800,22.68
20220214T0900,23.4
20220214T1000,24.84
20220214T1100,25.56
20220214T1200,24.48
20220214T1300,23.759998
20220214T1400,23.039999
20220214T1500,22.68
20220214T1600,24.119999
20220214T1700,27.0
20220214T1800,27.0
20220214T1900,26.28
20220214T2000,25.199999
20220214T2100,24.48
20220214T2200,22.68
20220214T2300,18.72
20220215T0000,17.64
20220215T0100,18.0
20220215T0200,17.64
20220215T0300,18.359999
20220215T0400,18.72
20220215T0500,19.44
20220215T0600,20.880001
20220215T0700,21.24
20220215T0800,21.96
20220215T0900,21.24
20220215T1000,23.759998
20220215T1100,27.0
20220215T1200,28.8
20220215T1300,27.72
20220215T1400,30.239998
20220215T1500,31.319998
20220215T1600,33.839996
20220215T1700,32.039997
20220215T1800,30.599998
20220215T1900,27.359999
20220215T2000,20.519999
20220215T2100,21.96
20220215T2200,23.4
20220215T2300,24.48
20220216T0000,27.359999
20220216T0100,28.8
20220216T0200,30.239998
20220216T0300,31.68
20220216T0400,34.2
20220216T0500,34.92
20220216T0600,36.719997
20220216T0700,37.8
20220216T0800,39.239998
20220216T0900,41.760002
20220216T1000,43.92
20220216T1100,47.16
20220216T1200,47.88
20220216T1300,47.88
20220216T1400,47.519997
20220216T1500,48.239998
20220216T1600,49.32
20220216T1700,49.68
20220216T1800,49.68
20220216T1900,50.76
20220216T2000,50.039997
20220216T2100,57.239998
20220216T2200,57.6
20220216T2300,59.76
20220217T0000,63.36
20220217T0100,64.799995
20220217T0200,64.439995
20220217T0300,64.799995
20220217T0400,65.520004
20220217T0500,66.24
20220217T0600,65.159996
20220217T0700,65.159996
20220217T0800,64.079994
20220217T0900,67.67999
20220217T1000,77.4
20220217T1100,72.0
20220217T1200,62.639996
20220217T1300,59.399998
20220217T1400,58.679996
20220217T1500,63.0
20220217T1600,59.76
20220217T1700,54.36
20220217T1800,56.519997
20220217T1900,49.32
20220217T2000,45.719997
20220217T2100,37.8
20220217T2200,31.68
20220217T2300,27.0
20220218T0000,25.199999
20220218T0100,24.48
20220218T0200,20.519999
20220218T0300,20.880001
20220218T0400,20.16
20220218T0500,19.08
20220218T0600,19.44
20220218T0700,20.16
20220218T0800,21.96
20220218T0900,29.88
20220218T1000,35.64
20220218T1100,41.760002
20220218T1200,42.12
20220218T1300,43.56
20220218T1400,48.239998
20220218T1500,49.68
20220218T1600,51.12
20220218T1700,54.719997
20220218T1800,59.76
20220218T1900,62.639996
20220218T2000,65.520004
20220218T2100,68.03999
20220218T2200,59.039997
20220218T2300,46.079998
20220219T0000,41.399998
20220219T0100,40.32
20220219T0200,39.96
20220219T0300,41.760002
20220219T0400,39.96
20220219T0500,35.64
20220219T0600,32.760002
20220219T0700,30.960001
20220219T0800,29.16
20220219T0900,32.399998
